#{"t_start": 1762874908.339138, "env_id": "CartPole-v1"}
r,l,t
55.0,55,6.052132
37.0,37,6.185787
15.0,15,6.291861
12.0,12,6.3035
40.0,40,6.427101
16.0,16,6.526245
48.0,48,6.681019
39.0,39,6.896489
26.0,26,6.923051
30.0,30,7.04344
56.0,56,7.272729
114.0,114,7.725542
104.0,104,8.085644
112.0,112,8.491019
119.0,119,8.979444
216.0,216,9.794467
117.0,117,10.376644
118.0,118,11.306751
111.0,111,11.773667
111.0,111,12.15462
115.0,115,12.596835
124.0,124,13.065194
149.0,149,13.526902
253.0,253,14.344055
178.0,178,14.92841
500.0,500,18.221465
500.0,500,20.21213
500.0,500,23.752564
500.0,500,25.632974
500.0,500,27.876311
500.0,500,30.912335
500.0,500,32.762096
500.0,500,35.767992
500.0,500,37.534319
500.0,500,39.560633
500.0,500,42.428016
500.0,500,44.154167
500.0,500,46.716452
500.0,500,48.515051
500.0,500,50.450887
500.0,500,53.588879
500.0,500,55.66435
500.0,500,58.714021
500.0,500,60.792792
500.0,500,62.587263
