#{"t_start": 1762881607.4003763, "env_id": "GridWorldMoving-v0"}
r,l,t
14.0,2,5.784547
-785.0,100,5.934685
11.0,3,5.945021
-785.0,100,6.107044
-785.0,100,6.52567
17.0,1,6.528224
17.0,1,6.530245
17.0,1,6.531239
17.0,1,6.533243
17.0,1,6.534241
17.0,1,6.53624
17.0,1,6.537239
17.0,1,6.53924
17.0,1,6.540239
17.0,1,6.542244
17.0,1,6.544241
17.0,1,6.54524
17.0,1,6.546241
17.0,1,6.548239
17.0,1,6.54924
17.0,1,6.55124
17.0,1,6.552239
17.0,1,6.554244
17.0,1,6.555244
17.0,1,6.557245
17.0,1,6.559244
17.0,1,6.561254
17.0,1,6.562244
17.0,1,6.564244
17.0,1,6.565243
17.0,1,6.567244
17.0,1,6.582215
17.0,1,6.583212
17.0,1,6.585213
17.0,1,6.586214
17.0,1,6.588217
17.0,1,6.590214
17.0,1,6.592215
17.0,1,6.594503
17.0,1,6.596504
17.0,1,6.598503
17.0,1,6.600502
17.0,1,6.601502
17.0,1,6.60251
17.0,1,6.604514
17.0,1,6.60551
17.0,1,6.60751
17.0,1,6.609516
17.0,1,6.610511
17.0,1,6.612514
17.0,1,6.613511
17.0,1,6.61551
17.0,1,6.617017
17.0,1,6.618027
17.0,1,6.620033
17.0,1,6.621028
17.0,1,6.623029
17.0,1,6.624031
17.0,1,6.626031
17.0,1,6.628029
17.0,1,6.629035
17.0,1,6.630087
17.0,1,6.631111
17.0,1,6.633513
17.0,1,6.634512
17.0,1,6.636513
17.0,1,6.637516
17.0,1,6.639541
17.0,1,6.640534
17.0,1,6.642647
17.0,1,6.643646
17.0,1,6.644649
17.0,1,6.64665
17.0,1,6.647645
17.0,1,6.649662
17.0,1,6.650669
17.0,1,6.652669
17.0,1,6.653666
17.0,1,6.655662
17.0,1,6.656666
17.0,1,6.657663
17.0,1,6.659663
17.0,1,6.661664
17.0,1,6.662664
17.0,1,6.663663
17.0,1,6.665663
17.0,1,6.666664
17.0,1,6.668664
17.0,1,6.669663
17.0,1,6.670665
17.0,1,6.672664
17.0,1,6.673666
17.0,1,6.675667
17.0,1,6.676664
17.0,1,6.677669
17.0,1,6.679767
17.0,1,6.680763
17.0,1,6.682804
17.0,1,6.68377
17.0,1,6.685768
17.0,1,6.686768
17.0,1,6.687768
17.0,1,6.68879
17.0,1,6.690768
17.0,1,6.691768
17.0,1,6.692768
17.0,1,6.694768
17.0,1,6.696787
17.0,1,6.698791
17.0,1,6.69979
17.0,1,6.700791
17.0,1,6.701802
17.0,1,6.703024
17.0,1,6.705477
17.0,1,6.706477
17.0,1,6.707477
17.0,1,6.709479
17.0,1,6.710482
17.0,1,6.712454
17.0,1,6.713467
17.0,1,6.715455
17.0,1,6.716966
17.0,1,6.717988
17.0,1,6.719987
17.0,1,6.720987
17.0,1,6.721987
17.0,1,6.722987
17.0,1,6.723987
17.0,1,6.72599
17.0,1,6.727988
17.0,1,6.728987
17.0,1,6.730988
17.0,1,6.731987
17.0,1,6.732987
17.0,1,6.734987
17.0,1,6.735987
17.0,1,6.736987
17.0,1,6.737987
17.0,1,6.738987
17.0,1,6.739987
17.0,1,6.741988
17.0,1,6.743988
17.0,1,6.744987
17.0,1,6.746988
17.0,1,6.748989
17.0,1,6.75101
17.0,1,6.752989
17.0,1,6.75499
17.0,1,6.755987
17.0,1,6.758012
17.0,1,6.759987
17.0,1,6.762989
17.0,1,6.765985
17.0,1,6.767987
17.0,1,6.769454
17.0,1,6.771487
17.0,1,6.77249
17.0,1,6.775486
17.0,1,6.777262
17.0,1,6.779803
17.0,1,6.78138
17.0,1,6.782406
17.0,1,6.783925
17.0,1,6.785444
17.0,1,6.787544
17.0,1,6.788539
17.0,1,6.790545
17.0,1,6.793187
17.0,1,6.795534
