#{"t_start": 1763035032.7552185, "env_id": "GridWorldMoving-v0"}
r,l,t
-775.0,100,4.811549
-800.0,100,4.972278
-775.0,100,5.291741
-790.0,100,5.43762
-780.0,100,5.561982
-795.0,100,5.896682
-726.0,97,6.027981
-795.0,100,6.32655
-790.0,100,6.458114
-785.0,100,6.58333
-775.0,100,6.917979
-790.0,100,7.041769
32.0,1,7.043769
-775.0,100,7.34646
-780.0,100,7.476591
-795.0,100,7.606882
29.0,2,7.610405
-785.0,100,7.937291
-770.0,100,8.069211
32.0,1,8.071211
-795.0,100,8.405554
-785.0,100,8.553619
-785.0,100,8.677145
-790.0,100,9.012267
-770.0,100,9.147467
-795.0,100,9.261539
-790.0,100,9.589647
-785.0,100,9.718177
-780.0,100,10.035042
20.0,5,10.043057
-790.0,100,10.175112
-790.0,100,10.287397
32.0,1,10.289397
-785.0,100,10.607345
29.0,2,10.610344
-800.0,100,10.725866
-785.0,100,11.086498
-790.0,100,11.225877
-790.0,100,11.349432
17.0,6,11.357962
-770.0,100,11.696961
-795.0,100,11.828775
-785.0,100,12.166285
-775.0,100,12.313605
-775.0,100,12.431908
32.0,1,12.433899
-785.0,100,12.809347
26.0,3,12.814342
-795.0,100,12.947344
-795.0,100,13.279145
-800.0,100,13.418209
-775.0,100,13.541273
32.0,1,13.542278
-760.0,100,13.868354
-780.0,100,14.01314
-795.0,100,14.314314
-790.0,100,14.477476
-775.0,100,14.614352
-770.0,100,14.946894
-780.0,100,15.082564
-770.0,100,15.216388
23.0,4,15.411915
23.0,4,15.416915
26.0,3,15.421925
-775.0,100,15.555471
-765.0,100,15.682537
29.0,2,15.685537
-785.0,100,15.970727
-780.0,100,16.117359
-790.0,100,16.389557
-590.0,80,16.498137
-790.0,100,16.615665
-780.0,100,16.92337
-780.0,100,17.048288
-795.0,100,17.164715
-800.0,100,17.47596
-770.0,100,17.60396
-795.0,100,17.8692
26.0,3,17.8742
-775.0,100,17.996207
-785.0,100,18.115972
-770.0,100,18.422963
23.0,4,18.427963
-785.0,100,18.555587
20.0,5,18.562587
-780.0,100,18.854268
29.0,2,18.858267
-760.0,100,19.006144
-770.0,100,19.132324
-790.0,100,19.462818
-785.0,100,19.597816
20.0,5,19.60505
-790.0,100,19.916338
-785.0,100,20.047699
-790.0,100,20.173038
-790.0,100,20.499636
-770.0,100,20.628957
-790.0,100,20.744458
32.0,1,20.746458
-775.0,100,21.054638
-785.0,100,21.188167
-795.0,100,21.480574
-785.0,100,21.61648
-790.0,100,21.733531
-775.0,100,22.033039
-780.0,100,22.169042
32.0,1,22.170808
-795.0,100,22.455409
26.0,3,22.45961
-785.0,100,22.58541
-795.0,100,22.702962
-775.0,100,23.011013
-780.0,100,23.139708
-780.0,100,23.472743
-780.0,100,23.607501
-795.0,100,23.735069
-790.0,100,24.024906
-780.0,100,24.16059
-795.0,100,24.459561
20.0,5,24.465561
-28.0,11,24.479089
-785.0,100,24.616152
-780.0,100,24.739678
-795.0,100,25.040055
-790.0,100,25.169516
-780.0,100,25.454484
-770.0,100,25.578749
-800.0,100,25.704714
-800.0,100,26.00332
29.0,2,26.007319
-785.0,100,26.138874
20.0,5,26.144874
-795.0,100,26.423999
32.0,1,26.426
-785.0,100,26.55808
-795.0,100,26.682168
-790.0,100,26.980827
-790.0,100,27.117344
