#{"t_start": 1763034752.2000313, "env_id": "GridWorldStatic-v0"}
r,l,t
-17.0,14,5.964637
-114.0,33,6.004636
-146.0,42,6.055224
18.0,4,6.060225
-234.0,68,6.142064
23.0,4,6.147064
-292.0,74,6.257652
-300.0,80,6.682054
-480.0,100,6.803902
-435.0,100,7.125034
29.0,2,7.128066
-100.0,35,7.180742
-71.0,22,7.211057
-58.0,21,7.237329
-307.0,79,7.339839
4.0,7,7.347839
-223.0,66,7.427559
-7.0,9,7.437559
-440.0,100,7.780782
-96.0,32,7.823673
-376.0,97,7.934909
-395.0,100,8.269459
29.0,2,8.272454
32.0,1,8.274457
-62.0,24,8.306457
-81.0,32,8.350061
3.0,9,8.360737
-10.0,10,8.374732
-118.0,31,8.412844
3.0,9,8.423625
-84.0,28,8.454664
21.0,3,8.458678
14.0,7,8.466678
-42.0,19,8.488678
13.0,4,8.493171
-123.0,41,8.736774
-8.0,11,8.752522
-135.0,35,8.800804
32.0,1,8.801808
-415.0,100,8.984207
-86.0,27,9.038327
-46.0,22,9.083599
-50.0,20,9.120002
-37.0,14,9.358007
-375.0,100,9.498752
32.0,1,9.50076
-75.0,30,9.541535
32.0,1,9.543535
32.0,1,9.544535
-82.0,29,9.589536
-150.0,45,9.662615
-228.0,61,9.999063
-237.0,69,10.105381
-52.0,24,10.148386
-109.0,33,10.203807
-74.0,28,10.246266
-425.0,100,10.622148
-162.0,44,10.681235
-67.0,24,10.713571
-63.0,26,10.747887
-415.0,100,10.916424
-36.0,17,10.948976
-15.0,10,10.968976
-48.0,21,11.017966
4.0,7,11.253661
-19.0,13,11.271466
15.0,5,11.279369
18.0,4,11.285399
24.0,2,11.288387
-123.0,41,11.345303
-64.0,28,11.388559
3.0,9,11.404559
-65.0,20,11.436171
26.0,3,11.440171
7.0,6,11.448171
29.0,2,11.451171
13.0,4,11.456171
-385.0,100,11.614659
-67.0,24,11.836848
-177.0,54,11.915512
-155.0,50,11.98576
-5.0,10,11.999305
-312.0,79,12.13919
-102.0,24,12.178685
-5.0,10,12.191193
20.0,5,12.196193
-12.0,14,12.440938
-54.0,23,12.473603
23.0,4,12.479128
-91.0,27,12.524164
23.0,4,12.529893
29.0,2,12.532061
-46.0,22,12.558433
-214.0,58,12.641038
32.0,1,12.643478
-82.0,24,12.686161
-121.0,42,12.764014
-22.0,14,12.791315
-440.0,100,13.145016
-145.0,40,13.199569
-110.0,35,13.248542
-3.0,11,13.261542
32.0,1,13.262872
32.0,1,13.264572
21.0,3,13.268572
-34.0,23,13.295418
29.0,2,13.29842
-46.0,17,13.317483
-78.0,26,13.350321
12.0,6,13.357322
-356.0,92,13.724517
-440.0,100,13.870219
-71.0,27,13.910322
8.0,9,13.921358
-361.0,97,14.269465
32.0,1,14.271514
-92.0,29,14.310533
14.0,7,14.320077
-130.0,35,14.367923
0.0,10,14.381148
-79.0,28,14.418187
0.0,10,14.429729
32.0,1,14.432264
15.0,5,14.439703
-93.0,31,14.495775
-1.0,7,14.509231
-101.0,32,14.574347
-262.0,69,14.874738
-85.0,25,14.912396
-272.0,74,15.021293
-194.0,63,15.124248
-20.0,15,15.14722
-132.0,39,15.413924
26.0,3,15.417928
-202.0,59,15.503693
-60.0,20,15.53491
-51.0,22,15.566002
-20.0,15,15.597675
-70.0,25,15.645257
-6.0,12,15.661321
26.0,3,15.665509
32.0,1,15.666507
-40.0,20,15.691156
-68.0,26,15.72348
26.0,3,15.727499
-370.0,100,16.028389
-95.0,30,16.063939
-14.0,13,16.080953
4.0,7,16.091061
-125.0,30,16.131062
2.0,11,16.145601
32.0,1,16.146638
26.0,3,16.150656
-21.0,17,16.171391
-66.0,22,16.197796
18.0,4,16.204796
29.0,2,16.207796
-153.0,31,16.247383
11.0,8,16.258385
-11.0,12,16.454187
-157.0,44,16.512605
-82.0,29,16.553362
-64.0,23,16.585064
4.0,7,16.59566
-27.0,14,16.614715
-22.0,14,16.634562
-208.0,46,16.691144
1.0,8,16.701146
3.0,9,16.711497
-16.0,17,16.733745
3.0,9,16.745045
10.0,5,16.75204
-16.0,12,16.766068
-88.0,36,17.008505
-18.0,16,17.029852
-60.0,20,17.058681
4.0,7,17.068503
-22.0,14,17.086455
23.0,4,17.091841
-18.0,11,17.105421
-68.0,31,17.153704
-92.0,29,17.19346
15.0,5,17.19846
-19.0,13,17.213472
-29.0,13,17.230529
23.0,4,17.237043
17.0,6,17.246081
12.0,6,17.255436
-48.0,21,17.287436
26.0,3,17.291436
4.0,7,17.30044
-17.0,14,17.318436
3.0,9,17.329472
12.0,6,17.525613
3.0,9,17.537894
-14.0,8,17.548896
10.0,5,17.555293
10.0,5,17.561293
-12.0,14,17.578295
2.0,6,17.587547
5.0,10,17.602229
-21.0,17,17.624902
-126.0,37,17.674932
0.0,10,17.68893
6.0,8,17.698931
-38.0,16,17.721198
-224.0,53,17.783424
-84.0,23,17.811488
15.0,5,17.818484
17.0,6,17.826524
-23.0,16,17.849099
32.0,1,17.852099
14.0,7,18.068449
7.0,6,18.078128
10.0,5,18.085308
12.0,6,18.094309
6.0,8,18.104623
23.0,4,18.110619
-114.0,33,18.154431
10.0,5,18.160772
-7.0,14,18.17947
-136.0,37,18.232636
-12.0,9,18.247659
6.0,8,18.260653
18.0,4,18.266037
32.0,1,18.268158
32.0,1,18.270305
32.0,1,18.271613
-13.0,11,18.285151
-8.0,11,18.297839
-6.0,12,18.312368
14.0,7,18.320381
-9.0,13,18.335295
20.0,5,18.340722
-48.0,16,18.359019
-3.0,11,18.375173
32.0,1,18.377172
-9.0,13,18.394443
-9.0,13,18.410646
23.0,4,18.649348
32.0,1,18.651784
11.0,8,18.66335
23.0,4,18.67007
32.0,1,18.672067
12.0,6,18.680601
20.0,5,18.688951
32.0,1,18.691113
29.0,2,18.694851
29.0,2,18.700099
26.0,3,18.705495
3.0,9,18.722925
-16.0,12,18.741759
20.0,5,18.749076
-10.0,10,18.762828
-12.0,9,18.775333
-46.0,17,18.799357
14.0,7,18.808309
26.0,3,18.812309
-41.0,17,18.831679
20.0,5,18.838835
9.0,7,18.84853
-2.0,9,18.858526
29.0,2,18.861279
