#{"t_start": 1763361708.8632033, "env_id": "GridWorldMoving-v0"}
r,l,t
-68.0,26,5.717757
3.0,9,5.730432
-79.0,23,5.757311
7.0,6,5.76331
-49.0,23,5.789624
-48.0,21,5.814049
-77.0,29,5.846626
-90.0,35,5.886242
6.0,8,5.895241
29.0,2,5.89824
-80.0,25,5.933425
14.0,7,5.942424
14.0,7,5.950423
-79.0,28,5.98142
-45.0,15,6.313655
18.0,4,6.318654
-34.0,18,6.339751
20.0,5,6.344751
-301.0,87,6.453338
-1.0,7,6.461337
-194.0,53,6.520845
7.0,6,6.527858
32.0,1,6.529361
29.0,2,6.532399
-68.0,26,6.563829
13.0,4,6.56883
-70.0,30,6.604923
2.0,11,6.780307
-23.0,11,6.793299
7.0,6,6.8013
-21.0,12,6.827913
-179.0,48,6.891307
-1.0,12,6.906333
-130.0,35,6.953328
18.0,4,6.968907
26.0,3,6.972912
32.0,1,6.973912
-43.0,16,6.992909
-223.0,66,7.072531
-134.0,33,7.111547
20.0,5,7.281336
-14.0,8,7.292352
12.0,6,7.301355
10.0,5,7.308359
-31.0,17,7.329229
16.0,3,7.33327
32.0,1,7.334311
-156.0,42,7.388068
18.0,4,7.393069
29.0,2,7.396068
23.0,4,7.402071
-142.0,44,7.460349
-20.0,15,7.480813
-52.0,24,7.510292
15.0,5,7.517291
23.0,4,7.521804
-44.0,18,7.543839
18.0,4,7.548838
-7.0,9,7.559837
-58.0,16,7.577835
2.0,11,7.591833
-106.0,37,7.802108
32.0,1,7.804108
32.0,1,7.805108
-104.0,33,7.844273
-124.0,38,7.88802
-44.0,18,7.912009
3.0,9,7.924518
-26.0,12,7.940519
-38.0,16,7.960822
0.0,10,7.973815
-79.0,23,7.999811
-44.0,18,8.018816
-44.0,18,8.039361
0.0,10,8.05136
14.0,7,8.059359
-93.0,31,8.256954
-98.0,36,8.305956
-225.0,55,8.379571
24.0,2,8.382571
-90.0,30,8.430361
-10.0,10,8.447108
21.0,3,8.452605
6.0,8,8.462945
-15.0,15,8.485792
-88.0,26,8.528233
-173.0,51,8.589319
20.0,5,8.594711
-24.0,13,8.77352
18.0,4,8.77852
-52.0,24,8.809552
-102.0,29,8.843121
6.0,8,8.85412
-82.0,29,8.891115
18.0,4,8.896115
18.0,4,8.902114
-106.0,32,8.945696
-234.0,58,9.013723
-270.0,80,9.306903
-450.0,100,9.422415
29.0,2,9.43722
-185.0,50,9.495214
-140.0,40,9.539759
-183.0,56,9.812336
-48.0,16,9.833866
24.0,2,9.836864
-73.0,21,9.865862
-53.0,21,9.895858
-297.0,69,9.985246
-234.0,58,10.05178
-48.0,21,10.075777
-161.0,52,10.424695
29.0,2,10.427209
-41.0,17,10.445207
-43.0,21,10.469211
-41.0,17,10.492207
-5.0,10,10.507207
12.0,6,10.515221
-20.0,15,10.535746
20.0,5,10.542745
-16.0,12,10.556736
24.0,2,10.559736
15.0,5,10.565743
-56.0,22,10.595746
12.0,6,10.602745
-115.0,40,10.65357
-351.0,87,10.965431
-27.0,19,10.990429
-86.0,27,11.026937
3.0,9,11.039943
-33.0,16,11.061555
-84.0,28,11.099549
29.0,2,11.102542
-63.0,21,11.128075
-147.0,39,11.172739
2.0,6,11.180741
-70.0,30,11.215019
26.0,3,11.219017
-28.0,16,11.237849
8.0,9,11.446051
-20.0,10,11.460048
-23.0,11,11.475046
5.0,5,11.482045
-65.0,25,11.513064
-128.0,31,11.557581
13.0,4,11.562581
-5.0,10,11.577571
-40.0,20,11.601568
17.0,6,11.610567
-45.0,20,11.637084
-32.0,14,11.654083
-11.0,12,11.667085
18.0,4,11.672105
-2.0,9,11.682103
20.0,5,11.688102
-61.0,22,11.713164
29.0,2,11.716164
29.0,2,11.719163
4.0,7,11.727671
-275.0,75,11.98844
12.0,6,11.997439
-130.0,30,12.037954
32.0,1,12.039953
15.0,5,12.046952
-115.0,30,12.086948
20.0,5,12.093948
-9.0,8,12.104947
-212.0,59,12.176328
-11.0,7,12.184345
-19.0,13,12.199343
5.0,10,12.210908
-38.0,16,12.230699
-177.0,49,12.455391
-5.0,10,12.467389
32.0,1,12.469389
-6.0,12,12.484394
26.0,3,12.488394
-116.0,37,12.538933
0.0,10,12.551932
-24.0,13,12.56993
-230.0,60,12.646459
-2.0,9,12.657458
4.0,7,12.665458
-61.0,22,12.690454
-184.0,58,12.952425
26.0,3,12.95801
9.0,7,12.970009
-56.0,22,13.004794
-159.0,48,13.076751
1.0,8,13.08675
23.0,4,13.09275
-84.0,28,13.12987
-103.0,31,13.166269
-9.0,13,13.181954
8.0,9,13.191981
-84.0,28,13.224452
-29.0,13,13.240001
-184.0,48,13.464175
29.0,2,13.467175
24.0,2,13.470176
-64.0,18,13.493169
-71.0,32,13.529685
-151.0,42,13.588376
-130.0,35,13.629888
-26.0,12,13.6449
-66.0,27,13.674897
-126.0,27,13.705921
-35.0,20,13.727954
-140.0,40,13.94159
-7.0,9,13.956589
-88.0,31,13.996903
-17.0,9,14.007901
-97.0,39,14.054047
-60.0,20,14.08105
14.0,7,14.089049
-137.0,39,14.133998
-241.0,72,14.216622
-38.0,16,14.423772
2.0,11,14.438345
29.0,2,14.441344
-41.0,17,14.465313
29.0,2,14.468311
-79.0,23,14.496312
-2.0,9,14.506307
-32.0,19,14.528309
-60.0,20,14.554818
-1.0,7,14.564948
-80.0,30,14.603396
-251.0,62,14.675246
-56.0,22,14.700243
-312.0,79,14.954827
23.0,4,14.959826
-22.0,14,14.975824
-46.0,17,14.995227
-96.0,27,15.025231
-42.0,19,15.046841
-169.0,43,15.095834
-13.0,11,15.108046
23.0,4,15.112046
-200.0,60,15.192569
-52.0,24,15.437885
26.0,3,15.441884
8.0,9,15.45493
-289.0,78,15.549745
-45.0,20,15.571742
-74.0,23,15.600844
-33.0,16,15.621099
17.0,6,15.627098
29.0,2,15.629097
-7.0,9,15.63964
15.0,5,15.645639
-163.0,46,15.697679
-3.0,11,15.710677
-41.0,17,15.915159
32.0,1,15.917175
13.0,4,15.923187
20.0,5,15.931697
1.0,8,15.942716
-18.0,16,15.964905
1.0,8,15.974911
-29.0,18,16.001908
-10.0,10,16.017367
-44.0,23,16.050368
-37.0,19,16.075374
-156.0,42,16.129666
20.0,5,16.135195
21.0,3,16.139194
-337.0,89,16.462413
-115.0,35,16.510656
-91.0,32,16.551149
-41.0,17,16.574504
-158.0,41,16.625944
-8.0,11,16.64156
-107.0,29,16.675558
18.0,4,16.679558
23.0,4,16.684558
-103.0,36,16.726567
-56.0,17,16.747624
-81.0,27,16.781317
-116.0,37,17.014709
10.0,5,17.021392
-132.0,29,17.056976
29.0,2,17.059976
-245.0,60,17.138523
-396.0,97,17.257937
-15.0,10,17.270033
-48.0,26,17.514394
-55.0,25,17.553933
26.0,3,17.558936
-35.0,15,17.581043
-249.0,63,17.682136
-53.0,21,17.710232
-32.0,19,17.733768
29.0,2,17.736309
-185.0,50,17.804879
-163.0,51,18.057829
-19.0,13,18.076827
5.0,10,18.090825
-11.0,12,18.107823
-28.0,16,18.129857
-7.0,9,18.143437
-319.0,88,18.259035
12.0,6,18.266035
-195.0,60,18.343612
-23.0,16,18.364609
-70.0,25,18.581888
17.0,6,18.590887
-27.0,19,18.617884
18.0,4,18.62292
15.0,5,18.629919
-185.0,50,18.700462
29.0,2,18.703461
-125.0,35,18.753067
9.0,7,18.762066
7.0,6,18.771065
10.0,5,18.778064
-106.0,37,18.882501
-140.0,45,18.978476
23.0,4,18.983465
-6.0,12,18.997938
6.0,8,19.007827
-35.0,15,19.186064
-27.0,19,19.207259
32.0,1,19.209259
9.0,7,19.217257
-310.0,85,19.318977
-94.0,33,19.359505
-97.0,24,19.388501
8.0,9,19.3985
9.0,7,19.406499
-136.0,42,19.457109
7.0,6,19.464363
-221.0,62,19.733043
9.0,7,19.743593
3.0,9,19.759591
-105.0,35,19.816585
-143.0,46,19.888837
-125.0,40,19.936483
7.0,6,19.943653
-68.0,31,19.980245
0.0,10,19.991481
