#{"t_start": 1763327215.4783542, "env_id": "GridWorldMoving-v0"}
r,l,t
-105.0,35,3.008013
-72.0,24,3.020011
14.0,7,3.023011
-62.0,24,3.03501
-44.0,18,3.044008
12.0,6,3.047008
-32.0,14,3.054007
18.0,4,3.056007
-15.0,10,3.061006
14.0,7,3.065006
23.0,4,3.067005
-45.0,25,3.079004
-460.0,100,3.247298
6.0,8,3.2536
-160.0,45,3.284333
-93.0,26,3.301481
-23.0,16,3.31148
-135.0,40,3.337476
-8.0,11,3.344476
5.0,10,3.350474
-23.0,16,3.361534
9.0,7,3.365544
-186.0,57,3.489637
-101.0,27,3.509917
-64.0,23,3.528731
-55.0,20,3.545035
-7.0,9,3.552034
-7.0,14,3.561033
24.0,2,3.562033
-15.0,10,3.570032
-41.0,22,3.584421
20.0,5,3.58745
-19.0,13,3.597681
-35.0,15,3.608199
0.0,10,3.614197
-278.0,71,3.660397
-197.0,59,3.779706
-276.0,82,3.83543
26.0,3,3.83743
-21.0,17,3.849445
-158.0,51,3.883437
-17.0,9,3.889493
-23.0,11,3.896595
32.0,1,3.896595
-28.0,16,3.9071
-41.0,17,3.917099
-14.0,13,4.015105
1.0,8,4.021868
3.0,9,4.030204
-191.0,57,4.095672
10.0,5,4.100494
-45.0,20,4.1207
-33.0,16,4.136429
-47.0,19,4.152506
-3.0,11,4.161006
-7.0,9,4.16851
1.0,8,4.175117
-156.0,42,4.204421
-26.0,12,4.211931
-115.0,25,4.226739
-120.0,35,4.335154
-31.0,17,4.34897
-22.0,14,4.358965
-31.0,17,4.371061
-59.0,23,4.387741
-30.0,15,4.397939
-8.0,11,4.406464
-29.0,13,4.414593
-93.0,26,4.432494
10.0,5,4.436783
-61.0,22,4.453744
-16.0,12,4.462007
4.0,7,4.466206
16.0,3,4.468483
-8.0,11,4.477507
-12.0,9,4.483536
-71.0,27,4.599307
-2.0,9,4.605824
-178.0,51,4.641772
-12.0,9,4.647783
-28.0,16,4.659358
-105.0,25,4.678863
-77.0,19,4.692874
32.0,1,4.693873
-61.0,22,4.709443
29.0,2,4.710443
20.0,5,4.714443
-7.0,9,4.720456
-375.0,90,4.876448
-15.0,10,4.883848
-61.0,17,4.896873
-187.0,49,4.927455
-4.0,8,4.932457
-98.0,26,4.948504
-11.0,12,4.955902
-46.0,22,4.969899
-14.0,13,4.977898
-147.0,44,5.004405
26.0,3,5.006405
-198.0,61,5.135973
21.0,3,5.137972
32.0,1,5.137972
-140.0,40,5.164197
-3.0,11,5.171562
-23.0,11,5.17856
23.0,4,5.18056
-22.0,14,5.189564
-33.0,16,5.199569
-19.0,13,5.207595
-92.0,24,5.226996
-83.0,26,5.2446
15.0,5,5.2476
3.0,9,5.254106
7.0,6,5.258132
4.0,7,5.262358
-61.0,22,5.276399
-212.0,59,5.405054
-20.0,15,5.41632
29.0,2,5.418453
-2.0,9,5.425636
-154.0,43,5.453635
12.0,6,5.457634
-61.0,27,5.476115
1.0,8,5.481431
32.0,1,5.481431
23.0,4,5.484426
2.0,11,5.491434
-48.0,21,5.504794
-69.0,28,5.52279
-116.0,32,5.546012
-126.0,32,5.670449
-197.0,54,5.71955
7.0,6,5.724549
-227.0,64,5.773187
20.0,5,5.777661
-12.0,9,5.786349
-82.0,29,5.810158
29.0,2,5.811158
-82.0,29,5.833162
-3.0,11,5.841297
-76.0,32,5.864552
-46.0,17,5.966277
-20.0,10,5.97327
-46.0,17,5.985269
-160.0,45,6.019205
-27.0,14,6.028607
10.0,5,6.03296
-72.0,19,6.04736
-273.0,71,6.102821
-20.0,15,6.113332
-9.0,13,6.123341
-35.0,15,6.133688
-103.0,31,6.247653
4.0,7,6.25265
32.0,1,6.253654
-87.0,29,6.274675
-16.0,17,6.289675
-19.0,13,6.301712
-21.0,17,6.316121
13.0,4,6.319856
-101.0,32,6.344997
-23.0,16,6.357977
32.0,1,6.359043
-35.0,15,6.370052
18.0,4,6.373052
-121.0,32,6.396058
-142.0,39,6.424142
-20.0,10,6.431141
-70.0,20,6.537409
-11.0,12,6.546408
9.0,7,6.551408
-71.0,27,6.570926
-89.0,33,6.594861
29.0,2,6.59686
29.0,2,6.598146
24.0,2,6.600146
1.0,8,6.606881
21.0,3,6.609037
-100.0,35,6.634911
32.0,1,6.635909
21.0,3,6.638906
26.0,3,6.640906
-191.0,52,6.679463
-234.0,58,6.827001
-209.0,63,6.873393
-420.0,100,6.946985
29.0,2,6.947983
20.0,5,6.951993
-67.0,29,6.975157
29.0,2,6.976157
17.0,6,6.98116
-15.0,10,6.988155
-141.0,42,7.112494
17.0,6,7.117493
-129.0,43,7.149495
23.0,4,7.152573
-13.0,11,7.160582
-152.0,39,7.190062
9.0,7,7.196061
-66.0,27,7.215394
-127.0,34,7.24141
-12.0,9,7.247409
-8.0,11,7.255445
-302.0,79,7.404898
7.0,6,7.409908
26.0,3,7.412399
32.0,1,7.412399
-6.0,12,7.421471
-129.0,43,7.451963
17.0,6,7.456963
-34.0,13,7.466511
-147.0,44,7.498424
7.0,6,7.503423
-232.0,64,7.549945
13.0,4,7.552949
14.0,7,7.557944
-38.0,16,7.569468
-41.0,17,7.673343
-17.0,9,7.680342
-93.0,36,7.705045
-2.0,9,7.712049
32.0,1,7.713049
-170.0,45,7.744438
-17.0,14,7.754436
-74.0,28,7.775934
6.0,8,7.781965
-101.0,32,7.805473
26.0,3,7.807523
-102.0,34,7.831883
-53.0,21,7.846891
23.0,4,7.84989
32.0,1,7.942354
-8.0,11,7.950794
12.0,6,7.955793
7.0,6,7.959793
-192.0,59,8.007691
26.0,3,8.009689
-114.0,33,8.037668
-16.0,12,8.050383
-29.0,18,8.0673
26.0,3,8.070299
-31.0,12,8.081615
32.0,1,8.082751
-21.0,12,8.093539
-58.0,26,8.116047
32.0,1,8.117047
0.0,10,8.126048
21.0,3,8.129049
-1.0,12,8.141488
-14.0,13,8.155033
-230.0,60,8.366277
29.0,2,8.367289
-86.0,32,8.394972
-179.0,43,8.426947
-75.0,25,8.445193
-24.0,13,8.454241
-27.0,14,8.464151
-125.0,45,8.500602
24.0,2,8.501733
-81.0,22,8.521171
-3.0,11,8.532345
32.0,1,8.533401
-61.0,22,8.644325
-90.0,30,8.666146
-62.0,19,8.680155
32.0,1,8.680155
-60.0,25,8.698964
-15.0,10,8.706475
-47.0,19,8.720488
-35.0,15,8.730604
-84.0,23,8.747973
-83.0,26,8.766982
6.0,8,8.771981
-28.0,16,8.783989
1.0,8,8.788989
-51.0,27,8.80851
-51.0,17,8.910678
-60.0,20,8.924676
8.0,9,8.931675
-2.0,9,8.937677
-85.0,25,8.955672
1.0,8,8.960671
12.0,6,8.964671
26.0,3,8.967552
-21.0,12,8.976561
-57.0,19,8.990236
-355.0,80,9.047676
24.0,2,9.049674
-24.0,18,9.062673
-145.0,50,9.208791
-8.0,11,9.21779
-64.0,23,9.236119
-7.0,9,9.243723
-27.0,14,9.255511
-100.0,35,9.284187
-47.0,19,9.299783
-10.0,10,9.308384
6.0,8,9.31452
20.0,5,9.317519
-8.0,11,9.324963
18.0,4,9.32937
-104.0,33,9.353833
-53.0,21,9.368834
-39.0,18,9.382318
-18.0,11,9.390317
7.0,6,9.394326
-81.0,22,9.49399
-83.0,31,9.515736
-9.0,13,9.525238
-49.0,18,9.538257
6.0,8,9.543733
-125.0,40,9.572331
-117.0,39,9.600336
-34.0,18,9.612844
-33.0,16,9.62422
18.0,4,9.627219
-4.0,8,9.632218
-96.0,37,9.658473
-19.0,13,9.756058
-21.0,12,9.764061
5.0,10,9.772056
-117.0,39,9.799057
-58.0,21,9.815029
29.0,2,9.816029
23.0,4,9.819028
-18.0,11,9.827357
-84.0,33,9.850353
-44.0,18,9.863351
13.0,4,9.865351
32.0,1,9.86635
26.0,3,9.86835
2.0,6,9.873349
-56.0,22,9.888705
-86.0,27,9.907218
-5.0,10,9.914217
0.0,10,9.921216
-179.0,58,10.063272
-55.0,25,10.082653
-11.0,12,10.091692
-123.0,36,10.115634
-48.0,21,10.130702
