#{"t_start": 1763328620.2296972, "env_id": "GridWorldMoving-v0"}
r,l,t
3.0,9,2.702874
-16.0,12,2.708871
-304.0,73,2.745214
-112.0,34,2.762423
26.0,3,2.763423
-11.0,12,2.769698
29.0,2,2.770698
32.0,1,2.771698
10.0,5,2.773701
13.0,4,2.775698
-11.0,12,2.781698
-45.0,20,2.791696
-74.0,23,2.802696
29.0,2,2.803695
18.0,4,2.805695
7.0,6,2.808695
-59.0,18,2.817694
-283.0,76,2.95828
32.0,1,2.959279
-5.0,10,2.964288
-147.0,44,2.987543
-87.0,29,3.003613
-34.0,18,3.013612
32.0,1,3.013612
-45.0,20,3.024425
-98.0,36,3.042855
-1.0,7,3.046863
1.0,8,3.050861
-92.0,34,3.145997
-44.0,18,3.154997
-8.0,11,3.162233
-160.0,45,3.186232
-188.0,56,3.217228
-41.0,22,3.22923
-315.0,85,3.278368
29.0,2,3.279368
29.0,2,3.281367
-20.0,10,3.366181
-112.0,39,3.388179
20.0,5,3.390179
-97.0,34,3.410177
1.0,8,3.415177
-23.0,16,3.424181
4.0,7,3.428178
-185.0,50,3.457682
14.0,7,3.461681
-30.0,15,3.47068
-59.0,23,3.484679
-123.0,31,3.501677
-43.0,16,3.588158
-29.0,13,3.595158
-67.0,24,3.608202
-257.0,69,3.650465
-232.0,59,3.683574
-63.0,21,3.695575
-27.0,14,3.703583
-122.0,29,3.719085
-25.0,15,3.728089
7.0,6,3.731099
-9.0,13,3.857495
-257.0,64,3.896029
-53.0,21,3.90779
-122.0,39,3.930325
-37.0,14,3.937834
14.0,7,3.942888
24.0,2,3.943933
-25.0,15,3.954431
12.0,6,3.958441
17.0,6,3.962557
14.0,7,3.967201
32.0,1,3.967201
-77.0,29,3.985272
21.0,3,3.987271
11.0,8,3.991271
11.0,8,3.99627
-69.0,23,4.091429
-74.0,23,4.109426
-40.0,15,4.120429
-47.0,19,4.139056
29.0,2,4.140069
32.0,1,4.141072
20.0,5,4.145067
-1.0,7,4.150275
-47.0,19,4.161907
-65.0,20,4.174979
-1.0,12,4.183429
32.0,1,4.184426
-73.0,26,4.200636
15.0,5,4.203635
-81.0,27,4.221322
-291.0,77,4.353
-1.0,12,4.36
-39.0,23,4.372996
-18.0,11,4.378996
-8.0,11,4.384999
-31.0,17,4.394998
-93.0,36,4.416997
-83.0,26,4.432119
-192.0,49,4.461025
12.0,6,4.464411
29.0,2,4.465411
-36.0,17,4.47541
3.0,9,4.48041
-7.0,14,4.488409
-98.0,31,4.596471
-40.0,15,4.605539
17.0,6,4.609301
3.0,9,4.614908
-112.0,44,4.642354
-19.0,13,4.650392
-475.0,100,4.715362
17.0,6,4.722365
-64.0,28,4.747666
-76.0,27,4.845851
-66.0,22,4.860205
-80.0,35,4.879637
9.0,7,4.883646
-133.0,46,4.908642
-61.0,22,4.921644
2.0,6,4.924644
6.0,8,4.929644
10.0,5,4.931643
-152.0,49,4.962654
-57.0,19,4.973653
-83.0,26,4.987673
-109.0,38,5.085625
-22.0,9,5.091628
17.0,6,5.095626
12.0,6,5.099623
-183.0,46,5.12567
20.0,5,5.12867
20.0,5,5.131668
-31.0,12,5.138184
26.0,3,5.140188
-14.0,13,5.148418
-41.0,17,5.158963
13.0,4,5.160961
6.0,8,5.165986
-110.0,30,5.182995
32.0,1,5.184718
14.0,7,5.188748
-19.0,18,5.202117
-194.0,58,5.330291
-25.0,15,5.338812
-222.0,59,5.377655
-108.0,41,5.405562
-138.0,46,5.435669
-17.0,9,5.440666
26.0,3,5.442666
-67.0,24,5.45783
-3.0,11,5.463829
-455.0,100,5.605507
-119.0,38,5.628509
26.0,3,5.630509
23.0,4,5.633508
-2.0,9,5.640132
-80.0,25,5.655837
-79.0,23,5.671006
-271.0,62,5.709053
-99.0,38,5.820251
11.0,8,5.825436
-32.0,14,5.832952
8.0,9,5.838806
-47.0,24,5.851969
-310.0,70,5.891874
-171.0,37,5.915694
11.0,8,5.920877
-26.0,17,5.93305
26.0,3,5.935059
-114.0,33,5.956121
-28.0,11,6.049429
-242.0,74,6.096818
-121.0,42,6.121896
-12.0,9,6.12807
17.0,6,6.132069
8.0,9,6.137463
32.0,1,6.138463
14.0,7,6.143465
-196.0,52,6.177467
32.0,1,6.177467
17.0,6,6.181967
-377.0,94,6.318437
-47.0,19,6.32844
26.0,3,6.33045
-1.0,12,6.337958
32.0,1,6.337958
-17.0,14,6.345957
-101.0,27,6.363776
-41.0,22,6.37779
2.0,6,6.381794
-125.0,35,6.40518
-92.0,29,6.423193
-154.0,43,6.520475
-104.0,33,6.541984
-113.0,31,6.558977
-142.0,39,6.580975
-242.0,64,6.618322
-89.0,33,6.63583
15.0,5,6.639
32.0,1,6.639
-15.0,15,6.647027
-14.0,13,6.655027
11.0,8,6.659027
26.0,3,6.661028
-20.0,15,6.772521
-100.0,35,6.79819
-96.0,32,6.820753
-39.0,18,6.831376
-99.0,33,6.854099
4.0,7,6.858501
9.0,7,6.863508
29.0,2,6.864508
-41.0,17,6.875015
-79.0,23,6.889023
-42.0,14,6.898025
0.0,10,6.904031
6.0,8,6.908031
-87.0,24,6.92375
18.0,4,6.92575
32.0,1,6.926753
29.0,2,6.928108
-6.0,12,7.017631
12.0,6,7.021635
17.0,6,7.025844
-105.0,35,7.045442
-108.0,31,7.062442
-22.0,14,7.070441
-133.0,31,7.087438
-357.0,89,7.140887
-52.0,24,7.154886
-54.0,18,7.165883
32.0,1,7.166886
-40.0,15,7.249892
-67.0,19,7.261235
-17.0,14,7.27126
-97.0,24,7.287664
-69.0,23,7.302926
-99.0,28,7.32086
-247.0,64,7.358881
11.0,8,7.36388
-93.0,26,7.37988
10.0,5,7.383981
23.0,4,7.385992
-65.0,25,7.401238
-71.0,22,7.492182
-157.0,44,7.517433
1.0,8,7.521438
-49.0,23,7.534434
-58.0,21,7.545938
23.0,4,7.547938
23.0,4,7.549938
-19.0,13,7.556937
29.0,2,7.557937
-208.0,56,7.589003
-7.0,14,7.597011
20.0,5,7.599011
32.0,1,7.600011
-110.0,35,7.61901
-76.0,27,7.704733
-54.0,23,7.718249
2.0,6,7.729995
12.0,6,7.734037
24.0,2,7.735037
12.0,6,7.739547
-106.0,27,7.755038
14.0,7,7.759037
-80.0,25,7.773381
-131.0,32,7.790384
