#{"t_start": 1763358890.7584512, "env_id": "GridWorldStatic-v0"}
r,l,t
-312.0,69,6.033579
4.0,7,6.044571
-450.0,100,6.172131
-60.0,30,6.209153
-380.0,100,6.635914
32.0,1,6.641988
-435.0,100,6.799895
-177.0,49,6.865309
-339.0,83,7.150804
-178.0,56,7.236815
-450.0,100,7.377957
-395.0,100,7.801273
-75.0,30,7.843498
-314.0,83,7.961429
-125.0,45,8.018181
-440.0,100,8.312535
-116.0,37,8.36235
-194.0,68,8.452881
-299.0,83,8.567255
-136.0,37,8.61799
32.0,1,8.619939
14.0,7,8.838109
-26.0,12,8.856113
-351.0,87,8.972738
5.0,10,8.986737
-415.0,100,9.11306
9.0,7,9.122081
-26.0,12,9.137218
-246.0,62,9.413665
-215.0,65,9.506191
-94.0,28,9.547765
-20.0,10,9.561761
-195.0,55,9.626763
-27.0,14,9.645297
-73.0,26,9.677291
-6.0,12,9.692301
-149.0,43,9.939792
23.0,4,9.945775
-305.0,90,10.068023
-31.0,17,10.092314
-54.0,18,10.114145
-18.0,16,10.133158
-83.0,31,10.171687
-405.0,100,10.503822
-265.0,75,10.607312
29.0,2,10.610312
32.0,1,10.611312
-91.0,32,10.650294
-285.0,75,10.735283
-27.0,14,10.754117
29.0,2,10.997105
-95.0,35,11.051843
-233.0,61,11.139583
-199.0,53,11.212666
-271.0,77,11.307699
-11.0,12,11.323797
29.0,2,11.325797
-169.0,43,11.60496
-8.0,11,11.61996
-182.0,49,11.68852
2.0,6,11.696759
9.0,7,11.706922
32.0,1,11.707922
29.0,2,11.710919
-181.0,52,11.781476
-131.0,42,11.833369
-134.0,43,11.890962
-136.0,42,12.134778
-14.0,13,12.152305
23.0,4,12.158304
-44.0,18,12.181692
-223.0,66,12.27122
-27.0,19,12.296485
-166.0,52,12.360206
9.0,7,12.370492
-92.0,34,12.42062
-25.0,15,12.440605
-61.0,22,12.664544
32.0,1,12.665544
-98.0,31,12.710613
-6.0,12,12.727604
-51.0,22,12.759505
13.0,4,12.764522
18.0,4,12.771813
-58.0,26,12.806981
-38.0,16,12.828326
-111.0,37,12.870833
14.0,7,12.878832
-209.0,58,12.943433
-101.0,32,13.167253
-60.0,30,13.20765
32.0,1,13.20865
-64.0,28,13.25178
32.0,1,13.252779
32.0,1,13.254779
11.0,8,13.266743
10.0,5,13.275414
-53.0,21,13.308398
2.0,11,13.325763
-36.0,17,13.353523
-64.0,23,13.389901
14.0,7,13.397892
10.0,5,13.404304
-21.0,12,13.418584
-107.0,34,13.463609
-89.0,33,13.512273
-161.0,42,13.743552
32.0,1,13.745552
20.0,5,13.751579
-89.0,28,13.789975
-110.0,35,13.833745
15.0,5,13.840744
24.0,2,13.843256
-164.0,48,13.905111
-3.0,11,13.918416
-63.0,21,13.942292
11.0,8,13.95229
21.0,3,13.956289
-9.0,8,13.966286
32.0,1,13.96727
12.0,6,13.975896
-213.0,66,14.252272
32.0,1,14.253272
18.0,4,14.25927
0.0,10,14.27413
-21.0,12,14.290082
6.0,8,14.30108
-32.0,19,14.326074
-48.0,21,14.35382
-161.0,42,14.408808
12.0,6,14.416097
-15.0,10,14.427119
-11.0,12,14.441271
-12.0,14,14.459304
12.0,6,14.467302
16.0,3,14.470301
-79.0,28,14.507293
-58.0,26,14.541281
26.0,3,14.545556
-90.0,25,14.78898
-85.0,25,14.824287
32.0,1,14.825287
-4.0,13,14.842803
-16.0,12,14.859802
3.0,9,14.87381
-5.0,10,14.886318
-26.0,12,14.902529
26.0,3,14.906528
-97.0,34,14.950466
-4.0,8,14.959459
-44.0,18,14.979543
15.0,5,14.985587
-43.0,21,15.010581
2.0,11,15.023578
-140.0,40,15.072178
-4.0,8,15.082176
-47.0,19,15.303941
-77.0,34,15.353411
-34.0,18,15.378398
-1.0,7,15.387396
-8.0,11,15.402395
1.0,8,15.411715
-10.0,10,15.423712
-53.0,21,15.451228
29.0,2,15.453227
13.0,4,15.459225
12.0,6,15.467236
17.0,6,15.475229
12.0,6,15.483228
29.0,2,15.485221
-2.0,9,15.49522
-17.0,14,15.518735
-13.0,11,15.536114
-22.0,9,15.549998
21.0,3,15.556456
20.0,5,15.564895
-8.0,11,15.587017
3.0,9,15.603575
-68.0,21,15.642985
32.0,1,15.644015
26.0,3,15.650672
14.0,7,15.662501
26.0,3,15.927155
12.0,6,15.936005
26.0,3,15.940212
21.0,3,15.944783
7.0,6,15.952781
26.0,3,15.956779
20.0,5,15.963778
24.0,2,15.966773
29.0,2,15.969771
13.0,4,15.97477
32.0,1,15.97577
23.0,4,15.982143
32.0,1,15.983401
-25.0,15,16.002962
20.0,5,16.009961
32.0,1,16.01096
-12.0,9,16.022946
